years,datetime,city,state,shape,duration (seconds),comments,latitude,longitude 
2008,04 July 2008,tuscola,tx,light,2,Ball of light then faded out.  ((NUFORC Note:  Iridium satellite??  PD)),32.2094444,-99.7963889
2008,04 July 2008,toledo,oh,light,4,Faint blurred distant points of light traveling through the sky in Toledo&#44 Ohio,41.6638889,-83.5552778
2008,04 July 2008,brentwood (contra costa),ca,other,900,UFO in the EAST BAY&#44CA 4/07/2008?,37.9319444,-121.6947222
2008,04 July 2008,salisbury,nh,triangle,300,My husband and I were laying in bed&#44 watching a movie&#44 when we saw two flashing lights through our balcony door. We got up and went out,43.38,-71.7175
2008,04 July 2008,mediapolis,ia,triangle,10,An object flying from the south slowed down near our house and then quickly flew toward the NW,41.0080556,-91.1638889
2008,04 July 2008,hot springs,ar,unknown,3600,Sighted two bright objects which moved and suddenly became motionless,34.5036111,-93.055
2008,04 July 2008,saxonburg,pa,unknown,240,Viewed red and white strob-like lights moving silently in a slow arc from north to west overhead at about 11pm on April 7th.,40.7538889,-79.8102778
2008,05 July 2008,holland,oh,circle,4,SPOTTED LARGE BALL OF WHITE LIGHT TRAVELING AT SLOWER SPEED THAN WHAT A SHOOTING STAR TRAVELS,41.6216667,-83.7116667
2008,05 July 2008,millville,nj,fireball,6,Fireball misty teardrop shape fell behind a tree line,39.4019444,-75.0397222
2008,05 July 2008,johns island,sc,light,300,Light floating above pasture,32.7922222,-80.1083333
2008,05 July 2008,san francisco,ca,light,900,Bright red luminous round light seen moving slowly over SF Bay.,37.775,-122.4183333
2008,05 July 2008,mansfield,tx,light,900,unidentifiable lights,32.5630556,-97.1413889
2008,05 July 2008,austintown,oh,oval,2,UFO over Austintown&#44 Ohio?,41.1016667,-80.7647222
2008,06 July 2008,tucson,az,changing,300,Changing shape low in Davis-Mothan AFB landing pattern.,32.2216667,-110.9258333
2008,06 July 2008,annapolis,md,changing,3600,Hover/Vibrating white lights; emitting beams and dots of light&#44 from 03:30-04:30 6/7/2008 over Annapolis&#44 MD,38.9783333,-76.4925
2008,06 July 2008,hot springs,ar,changing,7200,Lights and light came down upon us. very weird triangular formation after seeing 15 or so solid white lights move across the night sky.,34.5036111,-93.055
2008,06 July 2008,atlanta,ga,cigar,50,Around midnight&#44 two witnesses observed a bright light in the sky that&#44 upon observation&#44 appeared to be a large and wingless aircraft.,33.7488889,-84.3880556
2008,06 July 2008,calhoun,ga,disk,240,The craft was amazing with the speed it had&#44 and I sat in shock.,34.5025,-84.9511111
2008,06 July 2008,dawsonville,ga,disk,10,see above,34.4211111,-84.1191667
2008,06 July 2008,dawsonville,ga,disk,10,See description,34.4211111,-84.1191667
2008,06 July 2008,butler,mo,fireball,180,Me and others witnessed an extrodinary bright light&#44 ball looking in the sky moving somewhat slowly.,38.2538,-94.3356
2008,06 July 2008,hancock,md,light,90,Circular light flying low&#44 not blinking and no sound.,39.6988889,-78.18
2008,06 July 2008,dorsey,il,light,75,Bright light crosses sky&#44 hovers&#44 then shoots off into the sky&#44 disappearing in 2-3 seconds.,38.9736111,-90.0013889
2008,06 July 2008,st. joseph,mo,light,180,6/7/2008 mysterious light sighting in St. Joseph&#44 MO.  ((NUFORC Note:  Sighting of Internation Space Station confirmed.  PD)),39.7686111,-94.8463889
2008,06 July 2008,memphis,tn,light,60,this object became visible as i was standing in front of my house facing it to the north and the object was moving in the north-west to,35.1494444,-90.0488889
2008,06 July 2008,pattonville,tx,light,2,Bright then dull light supersonic speed,33.5791667,-95.3919444
2008,06 July 2008,mount ida,ar,light,3600,Multiple UFO&#39s seen on Lake Quachita near Hot Springs Arkansas.,34.5566667,-93.6338889
2008,06 July 2008,glendale,ca,light,300,strange light above Glendale&#44 CA,34.1425,-118.2541667
2008,06 July 2008,san luis obispo,ca,other,1800,Bishop&#39s peak visitor?,35.2827778,-120.6586111
2008,06 July 2008,brighton,ma,oval,360,I have been researching UFOs for about 6 months now. As I researched the subject I was believed more and more&#44 but there was always apa,42.35,-71.1569444
2008,06 July 2008,somerset,nj,rectangle,300,Dark&#44 vaguely rectangular object hovering in Central New Jersey.,40.4975,-74.4888889
2008,06 July 2008,tulare,ca,sphere,180,It was a round object of amber color was seen hovering over homes&#44 it shot straight up and out of sight.,36.2077778,-119.3463889
2008,06 July 2008,wolfe city,tx,sphere,180,White sphere moves from horizon to horizon and back again in a matter of seconds.  ((NUFORC Note:  Could not have been ISS.  PD)),33.3705556,-96.0686111
2008,06 July 2008,mountain view,ca,triangle,360,Mysterious triangular objects over Mountain View,37.3861111,-122.0827778
2008,06 July 2008,brooklyn,mi,triangle,300,Orange &amp; Red triangular lighted with no sounds.,42.1058333,-84.2483333
2008,06 July 2008,joplin (south of),mo,unknown,600,Two bright lights flying high overhead in SW Missouri,37.0841667,-94.5130556
2008,07 July 2008,seattle,wa,changing,1800,Sighting through photographs,47.6063889,-122.3308333
2008,07 July 2008,san antonio,tx,chevron,3,Quick object overhead San Antonio / Schertz TX,29.4238889,-98.4933333
2008,07 July 2008,indianapolis,in,disk,300,A flying white and red flashing saucer flew over my house,39.7683333,-86.1580556
2008,07 July 2008,ontelaunee,pa,fireball,600,Strange fire ball sight at Ontelaunee Lake.,40.4169444,-75.9447222
2008,07 July 2008,new palestine,in,other,2700,I couldn&#39t believe what we were seeing in daylight. It was a large metallic object that just hovered for over 30 minutes,39.7219444,-85.8891667
2008,07 July 2008,new palestine,in,other,2700,Strange dark shaped object hovering several thousand feet in the air,39.7219444,-85.8891667
2008,07 July 2008,chelsea,al,triangle,1800,Small triangular object flying in large circles above our area with lights in each corner making a very strange resonating sound.,33.34,-86.6302778
2008,07 July 2008,eldridge,ia,triangle,60,Small triangle shaped lights moving through sky.,41.6580556,-90.5844444
2008,07 July 2008,lutz,fl,triangle,420,A Triangle sighting... Tampa Palms (North Tampa) Florida on Bruce B. Downs at Super Walmart.,28.1508333,-82.4616667
2008,07 July 2008,bradford,ma,unknown,3600,Large jet like sound hovering in the neighborhood for an hour,42.7694444,-71.0763889
2008,07 July 2008,nashville,tn,unknown,20,Eccentric shaped object flying over my home,36.1658333,-86.7844444
2008,07 July 2008,springfield,mo,unknown,1800,Saw somehting that was most surely NOT an airplane nor a sattelite&#33&#33,37.2152778,-93.2980556
2008,08 July 2008,paso robles,ca,cigar,30,A silver shiny cigar shaped object hovering 300 ft above the ground in Paso Robles.,35.6266667,-120.69
2008,08 July 2008,beach park,il,cigar,120,Disappearing cigar shape,42.4222222,-87.8572222
2008,08 July 2008,dublin,ca,circle,30,Bright Still Light&#44 After 15-20 Seconds sped away with greenish light. too low and too fast to be a plane,37.7022222,-121.9347222
2008,08 July 2008,independence,ky,circle,180,bright round object on dark fairly clear night spotted by nonbeliever that faded into the dark,38.9430556,-84.5441667
2008,08 July 2008,hazen,nd,cylinder,10,Big and huge and very silent &#44with dim lights all around it,47.2944444,-101.6222222
2008,08 July 2008,ingleside,tx,disk,600,ABOUT 30 SILVER DISC SHAPED OBJECTS,27.8775,-97.2113889
2008,08 July 2008,denton,tx,disk,300,I went outside for my afternoon break and happened to look up and see a shiny object traveling thru the sky. Of course my first thought,33.2147222,-97.1327778
2008,08 July 2008,choctaw county (southeastern ok),ok,light,30,Bright&#44 glowing white light moving slowly above us with no blinking lights.  ((NUFORC Note:  ISS?  PD)),35.4975,-97.2686111
2008,08 July 2008,waverly,ny,light,2700,Bright light in the sky that illuminated the clouds.  ((NUFORC Note:  Jupiter??  PD)),42.0102778,-76.5275
2008,08 July 2008,chula vista,ca,oval,100,Slow Moving&#44 Oval shaped&#44 very low in the sky&#44 and a very bright white&#44and it vanished&#8230;  ((NUFORC Note:  ISS?  PD)),32.64,-117.0833333
2008,08 July 2008,allen,tx,teardrop,60,Around 9:20 we saw a really bright light in the sky at first we thought it was an airplane but it didn&#39t have red blinking lights and i,33.1030556,-96.6702778
2008,08 July 2008,cranford,nj,triangle,3600,Small blinking lights moving fast in  the distance.  ((NUFORC Note:  Possible star??  PD)),40.6583333,-74.3
2008,08 July 2008,lake wales,fl,triangle,5,It  was triangle shaped and it had bright white lights no red or green lights were present. 500 Lights On Object0: Yes,27.9011111,-81.5861111
2008,08 July 2008,lancaster,oh,unknown,120,Bright&#44 Nonflashing Pinkish Light without any accompanying lights visible.,39.7136111,-82.5994444
2008,09 July 2008,wake forest,nc,diamond,180,A UFO making strange movements and odd blinking lights,35.9797222,-78.51
2008,09 July 2008,san jose,ca,egg,300,White egg object Hovered then speed off with great speed,37.3394444,-121.8938889
2008,09 July 2008,oakland,me,fireball,60,Green flash.  ((NUFORC Note:  Possible hoax?  PD)),44.5402778,-69.7225
2008,09 July 2008,pomona,ny,light,30,Blinking light seen in the sky near palisades pkwy exit 12 Northbound in Pomona&#44 NY,41.1669444,-74.0436111
2008,09 July 2008,fairview,nj,light,60,Star like object flying around the moon.,40.8125,-73.9994444
2008,09 July 2008,macomb,mi,oval,180,I recently reported an object which I observed last week.  I saw the same or similar obect twice on Sunday from my living room window.,42.7008333,-82.9591667
2008,09 July 2008,tacoma,wa,triangle,600,Large triangle shaped UFO over Tacoma observed by 3,47.2530556,-122.4430556
2008,09 July 2008,council bluffs,ia,triangle,120,Sighted black triangle with three white lights and one red.  Hovers&#44 moves slowly&#44 turns.  Little sound.,41.2619444,-95.8608333
2008,10 July 2008,baltimore,md,changing,14400,At about 8:30 on Tuesday&#44 October 10&#44 I looked out the third story window of my dorm room and saw a really bright white light that had,39.2902778,-76.6125
2008,10 July 2008,williamsburg,ky,circle,10,well defined outline of object on my yard.I heard a loud oscillating noise.,36.7433333,-84.1597222
2008,10 July 2008,alpharetta,ga,circle,600,red circle up in the sky left trail.,34.0752778,-84.2941667
2008,10 July 2008,ronkonkoma,ny,egg,5400,Same object flashing red yellow green white for 90 min in NW sky daily since 9-23-08  ((NUFORC Note:  Twinkling star??  PD)),40.8152778,-73.1127778
2008,10 July 2008,lyman,wy,flash,600,Red/Silver flashing light going across the sky toward the south west.,41.3275,-110.2922222
2008,10 July 2008,claremore,ok,light,5,Bright greenish white streak in silent sky&#44 looked very close.,36.3125,-95.6158333
2008,10 July 2008,angel fire,nm,other,5,Noticed object in photo while downloading from camera to computer. ((NUFORC Note:  We believe obj. is flower petal&#44 or butterfly.  PD)),36.3930556,-105.2844444
2008,10 July 2008,lincoln,ne,sphere,120,Two glowing orange balls of light traveling in a southern direction dropping &quot;flares&quot; and continuing south.,40.8,-96.6666667
2008,10 July 2008,monongahela,pa,triangle,1200,Twilight Fly-by Of Triangular Craft.  ((NUFORC Note:  Satellites??  PD)),40.2030556,-79.9263889
2008,10 July 2008,des moines,ia,triangle,600,WHILE I WAS DRIVING ON THE INTERSTATE I SAW 3 TRIANGLER UFOS OVER MY CAR.,41.6005556,-93.6088889
2008,10 July 2008,schenectady,ny,triangle,2,very high speed object,42.8141667,-73.94
2008,10 July 2008,san francisco,ca,unknown,1800,bright white light in sky off Ocean Beach&#44 San Francisco&#44 CA changed color to red and moved slowly North,37.775,-122.4183333
2008,11 July 2008,phoenix,az,chevron,180,large chevron with blue and red solid light lights proceeding south to north at constant speed,33.4483333,-112.0733333
2008,11 July 2008,hopkinsville,ky,diamond,60,moving star while rest stayed there the rest of the night?,36.8655556,-87.4886111
2008,11 July 2008,cincinnati,oh,fireball,1800,Radiating&#44 pulsating&#44 fiery object observed in the cincinati night sky&#33  ((NUFORC Note:  Probable sighting of Venus.  PD)),39.1619444,-84.4569444
2008,11 July 2008,bangor,me,fireball,10,Fireball or &quot;Flash-ball&quot; maneuvers at low altitude - as seen and heard from backyard,44.8011111,-68.7783333
2008,11 July 2008,orlando,fl,light,180,Three glowing blue lights traveling from North to South,28.5380556,-81.3794444
2008,11 July 2008,sacramento,ca,rectangle,10,Steady moving narrow rectangle over Sacramento,38.5816667,-121.4933333
2008,11 July 2008,arcadia,ca,sphere,1800,A bright sphere rapidly changing color - blue&#44 green and red&#44 in one spot.  ((NUFORC Note:  Sighting of Sirius.  PD)),34.1397222,-118.0344444
2008,11 July 2008,palm springs,ca,unknown,4,Triangular lights falling toward Earth,33.8302778,-116.5444444
2008,12 July 2008,ocala,fl,changing,780,THREE ROUND CRAFTS AT 10:30 AM IN OCALA FL IN A TRIANGLE FORMATION STATIONARY AT FIRST THEN ALMOST HIT A PLANE,29.1869444,-82.1402778
2008,12 July 2008,takoma park,md,formation,7,String formation of five reddish lights flew south over DC area on a clear&#44 cold December night (11PM); too fast to be aircraft.,38.9777778,-77.0077778
2008,12 July 2008,mount vernon,mo,light,300,UFO Report 12/7/2008 6:54:19 PM  Incident Report: Date: Sunday&#44 December 07&#44 2008 Time: 18:37 hours Location of sighting: &#9;Lat:  37Deg,37.0986,-93.8185
2008,12 July 2008,san diego,ca,light,120,Motionless Red and Orange Flickering Light in the sky that appeared and slowly faded away (No Movement),32.7152778,-117.1563889
2008,12 July 2008,dos rios,ca,other,900,Two very odd and different flying machines with evedence of more&#33,39.7169444,-123.3522222
2008,12 July 2008,rochester hills,mi,other,180,UFO Flying Wing - Shape shifting,42.6583333,-83.15
2008,12 July 2008,junction city,or,oval,300,unknow object in sky no color or sound no running lights,44.2194444,-123.2044444
2008,01 August 2008,los angeles (lax),ca,changing,1200,I work for a comany near LAX. This morning one of the mangers came out of his corner office overlooking LAX and told me to &quot;come here&#44,34.0522222,-118.2427778
2008,01 August 2008,new orleans,la,circle,60,I saw what I saw,29.9544444,-90.075
2008,01 August 2008,azle,tx,circle,240,Possible sighting North of Stephenville TX,32.895,-97.5455556
2008,01 August 2008,san antonio,tx,fireball,2700,Large fireball across the sky,29.4238889,-98.4933333
2008,01 August 2008,miami,fl,flash,300,Frequent lights in the sky sightings in Miami Florida,25.7738889,-80.1938889
2008,01 August 2008,springfield,ma,formation,120,1 large light  center&#44 3 lights on either side  1 additional light off to right side&#44 width of 5 c-5 aircrafts side by side.,42.1013889,-72.5902778
2008,01 August 2008,ringgold,ga,formation,120,SMALL CHROME OR SILVER (VERY SHINY) OBJECTS (10-16) FLYING IN V FORMATION&#44 NORTH GA,34.9158333,-85.1091667
2008,01 August 2008,salado,tx,formation,420,very immense in size. maybe related to stepheville sighting,30.9469444,-97.5383333
2008,01 August 2008,orlando (70 miles north of),fl,light,5,FAA Report:  Pilot of commercial radios report to Miami ARTCC regarding sighting of very strange&#44 amber-colored object.,28.5380556,-81.3794444
2008,01 August 2008,liberty hill,tx,other,1260,Bright Lights over Williamson County&#44 Tx,30.6647222,-97.9222222
2008,01 August 2008,stephenville,tx,oval,120,Large craft object in the sky.  ((NUFORC Note:  Several other reports.  Wide news coverage of this sighting.  PD)),32.2205556,-98.2019444
2008,01 August 2008,stephenville,tx,oval,600,1MILE LONG BY 1/2 MILE WIDE  TRAVELING AT EST 3&#44000 MPH BEING CHASED BY MILITERY AIRCRAFT.,32.2205556,-98.2019444
2008,01 August 2008,stephenville,tx,oval,900,Summary of Radio news coverage for Stephenville&#44 TX sightings 1-8-08.  ((NUFORC Note:  Several reports.  Extensive news coverage.PD)),32.2205556,-98.2019444
2008,01 August 2008,stephenville,tx,rectangle,180,Flashing strobes&#44 silent&#44 flames out the back side and jets chashing it&#33 ((NUFORC Note:  Several reports.  Extensive news coverage.PD)),32.2205556,-98.2019444
2008,01 August 2008,york,pa,teardrop,3600,A Redish purple teardrop shape ufo.,39.9625,-76.7280556
2008,01 August 2008,palm desert,ca,triangle,2700,Numerous lighted triangular craft observed simultaneously in different quadrants of sky over Palm Desert&#44 CA,33.7222222,-116.3736111
2008,01 August 2008,waconia,mn,triangle,7,3 seemingly connected translucent white dots moved accross entire sky in 5 to 7 seconds.,44.8508333,-93.7866667
2008,01 August 2008,san jose,ca,triangle,7200,Triangular crafts appear nightly in the Almaden Valley of South San Jose CA.,37.3394444,-121.8938889
2008,01 August 2008,dalton,ga,unknown,4,large column of non-translucent  light  -- Could have been solid,34.7697222,-84.9702778
2008,01 August 2008,liberty hill,tx,unknown,3600,Bright Orange lights appear and reappear,30.6647222,-97.9222222
2008,02 August 2008,dallas,tx,cigar,3,cigar shape wingless aircraft seen over midday.,32.7833333,-96.8
2008,02 August 2008,plano,tx,circle,900,Plano&#44 Texas circular object with rotating flashing red lights,33.0197222,-96.6986111
2008,02 August 2008,corpus christi,tx,circle,120,Enormous circular object hovered approx two minutes off shore of Port Aransas&#44 TX on 02/08/08.,27.8002778,-97.3961111
2008,02 August 2008,wallace,nc,other,30,Boomerang type object hovvering silently right above the treetops.,34.7355556,-77.9955556
2008,02 August 2008,carlsbad,ca,other,180,02/08/2008    Carlsbad CA   String of lights  3 minutes  viewed over ocean shore&#44 red and blue lights&#44 assended turned white and disapp,33.1580556,-117.3497222
2008,02 August 2008,laredo,tx,other,60,Large &quot;V&quot; shape object over Laredo&#44Tx. 02-08-08,27.5061111,-99.5072222
2008,02 August 2008,havre,mt,triangle,9000,Mutiple wtinesses see UFO over Havre Montana,48.55,-109.6833333
2008,03 August 2008,tulsa,ok,changing,70,A strange&#44 changing shape UFO over Tulsa.,36.1538889,-95.9925
2008,03 August 2008,salisbury,nc,cylinder,120,STRANGE SILVERY OBJECT HANG&#39S IN THE SKY DISPITE HIGH MARCH WIND&#39S&#33&#33...,35.6708333,-80.4744444
2008,03 August 2008,terrell,tx,disk,180,bright pulsating disk&#44 appeared to fall from sky then stopped&#44 hovered and moved north out of sight.,32.7358333,-96.275
2008,03 August 2008,maybrook,ny,disk,15,((HOAX??))  Me and 2 others saw 15-20 saucer like objects that had a dim orange glow.,41.4838889,-74.2180556
2008,03 August 2008,kalamazoo,mi,light,1980,((HOAX??))  White light moving east changed direction and then hovered for half an hour.,42.2916667,-85.5872222
2008,03 August 2008,breinigsville,pa,light,1,UFO - Under The Rainbow,40.5366667,-75.6316667
2008,03 August 2008,wabash,in,light,300,((HOAX??)) 8 orange lights in the northern sky of wabash indiana dissapeared within 5 min. no noise,40.7977778,-85.8205556
2008,03 August 2008,pembroke pines,fl,light,8,2 lights&#44 possibly the front and back of one object&#44 move in the night sky and vanish as if dimming to naught&#44 in 8 seconds,26.0027778,-80.2241667
2008,03 August 2008,gastonia,nc,light,25,Observed 5-6 reddish orange lights traveling acroos the sky in a formation&#44 then they swirled around and disappeared.,35.2619444,-81.1875
2008,03 August 2008,vallejo,ca,other,5,Driving down hill a semi main street&#44 boy friend and I were going home and we both happened to see what seemed like a bright green orb,38.1041667,-122.2555556
2008,03 August 2008,la luz,nm,oval,120,Large Oval shape above tree line&#44 move slow than darts fast&#44 hover&#44 move slow&#44 red light &amp; green lights blinking,32.9777778,-105.9413889
2008,03 August 2008,sandy springs,ga,oval,120,Two hovering object over sandy springs Ga,33.9241667,-84.3786111
2008,03 August 2008,ennis,tx,sphere,15,Sphere shaped ship seen over country road.,32.3291667,-96.625
2008,03 August 2008,holtwood,pa,unknown,3600,flashing lights in sky over Lancaster PA,39.8319444,-76.3277778
2008,04 August 2008,statesville,nc,changing,420,Brightly lit&#44 triangular craft flying closely over my home.,35.7825,-80.8875
2008,04 August 2008,harrisville,wv,light,120,Lime green bar of light in evening sky.,39.2094444,-81.0519444
2008,04 August 2008,hendersonville,tn,other,120,Ring with long arms and crown viewed in sumner county TN,36.3047222,-86.62
2008,04 August 2008,maltby,wa,sphere,90,The sigting bgan first with our work radios making a clicking noise then eventual static Nobody could make contact through our radios a,47.8052778,-122.1119444
2008,04 August 2008,abingdon,va,unknown,60,Plane follows unexplained light,36.7097222,-81.9775
2008,04 August 2008,glen cove,ny,unknown,20,White slow flashing light,40.8622222,-73.6341667
2008,05 August 2008,hardin,ky,cigar,1800,I WAS OUT IN MY YARD ON A CLEAR&#44 SUNNY DAY THIS SPRING AND HAPPENED TO LOOK UP AND SAW A SHINY METALLIC CIGAR SHAPED VEHICLE. THE SUN W,36.7647222,-88.2952778
2008,05 August 2008,cudahy,wi,circle,300,Bright light in Cudahy wisconsin,42.9597222,-87.8613889
2008,05 August 2008,irvine,ca,circle,600,Circluar shaped object outlined with blue lights flying over Irvine&#44 CA,33.6694444,-117.8222222
2008,05 August 2008,sedona,az,disk,2,Pictures taken while on vacation. Did not see this by human eye. Downloaded picture to computer identifies definite disk shape and addi,34.8697222,-111.7602778
2008,05 August 2008,ashford,wa,disk,180,two ufo&#39s in skies over mt. rainier state park.,46.7586111,-122.0297222
2008,05 August 2008,bremerton,wa,light,30,White light does a fast U turn&#33,47.5675,-122.6313889
2008,05 August 2008,las vegas,nv,sphere,720,Witnessed a small object that actually stopped moving alltogether twice and lasted about 15 minutes before it disappeared out of site.,36.175,-115.1363889
2008,05 August 2008,palm springs,ca,triangle,120,Black Triangle over Palm Springs California,33.8302778,-116.5444444
2008,06 August 2008,san francisco,ca,circle,1500,solid&#44 white object seen over S. F. Bay in high atmosphere&#44 momentarily stationary,37.775,-122.4183333
2008,06 August 2008,plymouth,nh,light,10,Red blinking light&#44 then a dash across the sky.,43.7569444,-71.6886111
2008,06 August 2008,dowagiac,mi,light,120,3 lights at the leading edge of an approaching storm,41.9841667,-86.1086111
2008,06 August 2008,bushkill,pa,light,20,The light speed up fast and then followed behind us and then ziped away and was gone.but yet there was no sound.,41.0933333,-75.0022222
2008,06 August 2008,oxnard,ca,light,600,Bright as a star it silently flew overhead turned red then disappeared into the night sky.,34.1975,-119.1761111
2008,06 August 2008,austin,tx,light,60,Steady&#44 silent moving light moving over Northeast Austin&#44 and vanishing.  ((NUFORC Note:  Probably ISS.  Please see table below.  PD)),30.2669444,-97.7427778
2008,06 August 2008,minneapolis,mn,light,60,lighted object circling over Minneapolis&#44 then makes a few dramatic directional changes and zooms away.,44.98,-93.2636111
2008,06 August 2008,voorhees,nj,light,10,Star looking object Splits Into Two,40.4811111,-74.4836111
2008,06 August 2008,gary,in,other,420,diamondlike shaped object,41.5933333,-87.3463889
2008,06 August 2008,albuquerque,nm,other,600,Bright stationary circular object in high atmosphere in broad daylight gives way to five smaller moving crescents,35.0844444,-106.6505556
2008,06 August 2008,sioux falls,sd,other,5,Glowing Orangish/Yellowish aircraft witnessed South from Sioux Falls S.D.,43.55,-96.7
2008,06 August 2008,mckinleyville,ca,other,180,Bright light making quick&#44 fast turns across the sky,40.9466667,-124.0994444
2008,06 August 2008,purvis,ms,other,1200,Stars in Baton shape floated from Southwest to the North,31.1430556,-89.4097222
2008,06 August 2008,monument,co,oval,180,Brilliant shiny object passed over the house.  ((NUFORC Note:  Probably ISS.  Please see table below.  PD)),39.0916667,-104.8722222
2008,06 August 2008,portage,mi,sphere,30,round yellow metallic object flew near my house just before thunder storm.,42.2011111,-85.58
2008,06 August 2008,portage,mi,sphere,40,Round yellow object escaping from storm,42.2011111,-85.58
2008,06 August 2008,ruidoso,nm,sphere,600,Ruidoso&#44 Mexico observed a light object followed by an aircraft traveling west to east it was a sphere bright in color,33.3316667,-105.6725
2008,06 August 2008,prescott,az,triangle,3,On 6/8/08 a large dark triangular UFO spotted over Watson Lake&#44 Prescott&#44 AZ:.,34.54,-112.4677778
2008,06 August 2008,ashland city,tn,unknown,900,Bright light hovering above tree line,36.2741667,-87.0641667
2008,06 August 2008,yazoo city,ms,unknown,180,At 12:05 AM on June 8 My wife and were Northbound on MS Hwy 3 approximately 10 miles South of Yazoo City when we observed a Bright Stro,32.855,-90.4055556
2008,07 August 2008,st. peters,mo,light,10,Bright neon green light hovered then broke the sound barrier as it took off.,38.8002778,-90.6263889
2008,07 August 2008,kuttawa,ky,light,180,fast moving solid bright light&#44 redish color&#44 in KY,37.0588889,-88.1325
2008,07 August 2008,bothell,wa,light,5,Fast bright light making &quot;s&quot; shaped turns back and forth,47.7625,-122.2041667
2008,07 August 2008,vancouver,wa,rectangle,1200,((HOAX??))  verticle rectangle with several bright lights.,45.6388889,-122.6602778
2008,07 August 2008,eden,ny,unknown,1200,3 bright orange lights in a horizontal line hover over some trees for 15 minutes then the lights turned blue and it vanished,42.6522222,-78.8972222
2008,07 August 2008,indianapolis,in,unknown,3,horizontal zig zagging white light,39.7683333,-86.1580556
2008,08 August 2008,eden,ny,circle,900,Unusual bright zig-zagging lights in the Eden&#44 North Collins NY sky.,42.6522222,-78.8972222
2008,08 August 2008,chula vista,ca,circle,120,Small white dot&#44 moved relativily slowly shows continuously at App. 9:00 PM PST,32.64,-117.0833333
2008,08 August 2008,orangevale,ca,circle,10,Round ball of eluminating light  which was whitish blue Explodes and the pieces stayed elumanated&#33,38.6786111,-121.2247222
2008,08 August 2008,la crosse,wi,disk,120,((HOAX??))  I saw a saucer shaped object moving at high speeds that had lights blinking along the edges of it.,43.8013889,-91.2394444
2008,08 August 2008,mcallen,tx,disk,180,Daytime Objects Unexplained,26.2030556,-98.2297222
2008,08 August 2008,denton,tx,disk,300,I went outside to have my afternoon break&#44 which today was at 5:25. I happened to look up and see the same object as I had seen the,33.2147222,-97.1327778
2008,08 August 2008,sunnyvale,ca,egg,60,Reflective silver object&#44 possibly orb or egg shaped flying near some fighter jets this afternoon in Sunnyvale&#44 CA,37.3688889,-122.0352778
2008,08 August 2008,louisville,ky,fireball,60,Multiple witnesses observe moving light.  ((NUFORC Note:  Possible sighting of ISS.  PD)),38.2541667,-85.7594444
2008,08 August 2008,baton rouge,la,fireball,600,Fire Ball object with comet like tail changing directions and dropping flares over Baton Rouge,30.4505556,-91.1544444
2008,08 August 2008,murray,ky,flash,6,oval object shoots across the sky and explodes in bright flash.,36.6102778,-88.3147222
2008,08 August 2008,newberg,or,light,120,object over newberg oregon&#44 2 witnessed&#44 white light with three red lights attached.,45.3002778,-122.9719444
2008,08 August 2008,mt. airy,md,light,3,Very bright light moved extremely quickly across the sky. Seen again within a few seconds going opposite direction.,39.3761111,-77.155
2008,08 August 2008,mission beach (san diego),ca,light,300,two orange shaped objects which moved somewhat in tandem for several minutes and then eventually disappeared.,32.7825,-117.2513889
2008,08 August 2008,corpus christi,tx,light,900,bright light over Corpus Christi&#44 Texas takes 90 degree evasive action when Navy plane approaches &amp; disappears.,27.8002778,-97.3961111
2008,08 August 2008,chicago (over nw indiana?),il,other,3600,Bright orange reddish lights flickering over lake Michigan ((Chicagoland area)),41.85,-87.65
2008,08 August 2008,san diego,ca,other,420,Two orange &quot;X&quot; objects,32.7152778,-117.1563889
2008,08 August 2008,alamo,tx,sphere,600,2 silver &quot;tubes&quot; seen flying in sky.  Not weather balloons.  No wings.  Moving fast.,26.1833333,-98.1227778
2008,08 August 2008,kingsbury,ny,sphere,25,silent orange globe of unknown origin.,43.3636111,-73.5319444
2008,08 August 2008,powder springs,ga,triangle,60,I saw an object with three red&#44 flashing lights forming a triangle flying low over my neighborhood.,33.8594444,-84.6838889
2008,08 August 2008,southampton,pa,triangle,3000,Huge bright yellow/reddish  trangulair light in the N sky,40.1741667,-75.0441667
2008,08 August 2008,hamilton,mi,unknown,10800,I was with being helping them and saw the ship perfectly.,42.6772222,-86.0061111
2008,09 August 2008,lynnville,ky,rectangle,480,rectangular object with rows of lights moving slowly and heading in opposite directions in a matter of seconds.,36.5602778,-88.5691667
2008,09 August 2008,reading,pa,triangle,1200,It was a beautiful evening.Coll&#44clear&#44with a pale blue sky tinged by a golden sunset.I was coming from a local department store and as,40.3355556,-75.9272222
2008,09 August 2008,englewood,fl,unknown,10,2 lights moving across the sky too close to land&#44 too fast&#44 and in silence,26.9616667,-82.3527778
2008,10 August 2008,bryan,tx,chevron,2,A dark brown/black colored craft passed over Bryan&#44 Texas heading north and disappeared into the sky around 8:30 p.m.,30.6741667,-96.3697222
2008,10 August 2008,dupo,il,chevron,3,Large falling green ball of light,38.5161111,-90.2102778
2008,10 August 2008,stafford springs,ct,cigar,180,a string of four white lights&#44 third one blinking white&#44 appeared about 30 feet above me about 20 feet away from me  in front of me,41.9541667,-72.3027778
